YEAR,Car_Age,MILEAGE,CAR_PRICE
2010,13,122000,6786
2016,7,48000,19800
2015,8,133000,11700
2016,7,27000,16300
2023,0,4000,41000
2022,1,5900,68500
2022,1,1500,45000
2021,2,11000,39900
2020,3,44000,69000
2019,4,2800,31985
2018,5,28000,25000
